Lens,Construction,Min. Focus,Filter Size,Weight,Lens Hood
ML Fisheye f/2.8 15 mm,10 – 7,0.3 m,-,445 g,-
ML f/3.5 21 mm,12 – 8,0.3 m,72 mm,370 g,75 mm Slip On
ML f/2.8 24 mm,9 – 8,0.3 m,62 mm,285 g,Lens Shade 62 mm
ML f/2.8 28 mm I,8 – 7,0.3 m,52 mm,285 g,54 mm Slip On
ML f/2.8 28 mm II,7 – 6,0.3 m,52 mm,285 g,-
ML f/2.8 35 mm I,7 – 6,0.3 m,52 mm,285 g,54 mm Slip On
ML f/2.8 35 mm II,6 – 5,0.3 m,52 mm,230 g,-
ML f/1.4 50 mm,7 – 6,0.5 m,52 mm,295 g,54 mm Slip On
ML f/1.7 50 mm,6 – 5,0.5 m,52 mm,240 g,54 mm Slip On
ML f/1.9 50 mm,6 – 5,0.5 m,52 mm,-,-
ML f/2 50 mm,6 – 4,0.5 m,52 mm,160 g,54 mm Slip On
ML f/1.2 55 mm,7 – 6,0.5 m,55 mm,410 g,57 mm Slip On
ML Macro f/2.8 55 mm,6 – 4,0.25 m,52 mm,305 g,54 mm Slip On
ML Macro f/4 55 mm,4 – 3,0.25 m,52 mm,305 g,54 mm Slip On
ML Macro f/3.5 100 mm,6 – 4,0.44 m,55 mm,430 g,57 mm Slip On
ML f/2.8 135 mm,5 – 4,1.5 m,55 mm,540 g,built-in
ML f/2.8 135 mm C,5 – 4,1.5 m,52 mm,420 g,built-in
ML f/4 200 mm,5 – 4,2.5 m,55 mm,615 g,built-in
ML f/4 200 mm C,5 – 4,2.5 m,-,535 g,built-in
ML f/5.6 300 mm,5 – 4,4.5 m,58 mm,880 g,built-in
ML f/5.6 300 mm C,6 – 3,4.5 m,58 mm,645 g,built-in
ML Reflex f/8 500 mm,8 – 6,2.5 m,58 mm,470 g,built-in
